timestamp,worker,label,rtt_ms,status_code,error
2026-05-11T09:27:06.323017,1,2,326.05,200,
2026-05-11T09:27:06.646661,1,8,178.46,200,
2026-05-11T09:27:06.825460,1,3,180.29,200,
2026-05-11T09:27:07.006382,1,9,191.35,200,
2026-05-11T09:27:07.198238,1,2,153.93,200,
2026-05-11T09:27:06.321703,2,7,1325.7,200,
2026-05-11T09:27:06.328553,3,1,1319.77,200,
2026-05-11T09:27:07.352672,1,0,345.83,200,
2026-05-11T09:27:06.321559,0,4,1504.71,200,
2026-05-11T09:27:06.321261,4,0,1636.33,200,
2026-05-11T09:27:07.698988,1,1,267.69,200,
2026-05-11T09:27:07.648633,2,5,328.69,200,
2026-05-11T09:27:07.649495,3,3,451.02,200,
2026-05-11T09:27:07.826713,0,1,365.09,200,
2026-05-11T09:27:07.967641,1,8,274.14,200,
2026-05-11T09:27:07.964345,4,9,322.45,200,
2026-05-11T09:27:08.192184,0,0,225.73,200,
2026-05-11T09:27:07.977671,2,2,446.63,200,
2026-05-11T09:27:08.101117,3,6,403.31,200,
2026-05-11T09:27:08.242301,1,3,351.51,200,
2026-05-11T09:27:08.418335,0,1,256.55,200,
2026-05-11T09:27:08.287303,4,2,448.86,200,
2026-05-11T09:27:08.424802,2,3,357.94,200,
2026-05-11T09:27:08.594654,1,4,290.39,200,
2026-05-11T09:27:08.504913,3,2,444.14,200,
2026-05-11T09:27:08.675272,0,3,320.98,200,
2026-05-11T09:27:08.783131,2,5,311.12,200,
2026-05-11T09:27:08.736818,4,0,421.0,200,
2026-05-11T09:27:08.996760,0,8,267.96,200,
2026-05-11T09:27:08.949582,3,1,348.18,200,
2026-05-11T09:27:08.885590,1,8,434.75,200,
2026-05-11T09:27:09.158246,4,2,320.44,200,
2026-05-11T09:27:09.265210,0,8,277.74,200,
2026-05-11T09:27:09.094669,2,1,471.08,200,
2026-05-11T09:27:09.479172,4,5,237.67,200,
2026-05-11T09:27:09.320817,1,3,396.95,200,
2026-05-11T09:27:09.298628,3,9,442.29,200,
2026-05-11T09:27:09.543319,0,4,347.13,200,
2026-05-11T09:27:09.566288,2,2,387.28,200,
2026-05-11T09:27:09.718186,4,7,282.34,200,
2026-05-11T09:27:09.719207,1,7,353.44,200,
2026-05-11T09:27:09.741406,3,0,399.78,200,
2026-05-11T09:27:09.890944,0,4,347.9,200,
2026-05-11T09:27:09.954072,2,9,330.01,200,
2026-05-11T09:27:10.073158,1,8,301.52,200,
2026-05-11T09:27:10.001569,4,9,451.25,200,
2026-05-11T09:27:10.141734,3,2,331.08,200,
2026-05-11T09:27:10.375120,1,2,374.47,200,
2026-05-11T09:27:10.473339,3,9,328.99,200,
2026-05-11T09:27:10.453327,4,6,359.48,200,
2026-05-11T09:27:10.284630,2,5,574.12,200,
2026-05-11T09:27:10.239350,0,2,620.1,200,
2026-05-11T09:27:10.750007,1,8,286.06,200,
2026-05-11T09:27:10.802907,3,4,262.9,200,
2026-05-11T09:27:10.813765,4,5,407.74,200,
2026-05-11T09:27:10.859713,2,1,542.05,200,
2026-05-11T09:27:10.860579,0,3,554.27,200,
2026-05-11T09:27:11.036552,1,9,400.88,200,
2026-05-11T09:27:11.221969,4,7,420.32,200,
2026-05-11T09:27:11.066316,3,4,715.31,200,
2026-05-11T09:27:11.415199,0,1,386.62,200,
2026-05-11T09:27:11.437866,1,8,490.38,200,
2026-05-11T09:27:11.402271,2,0,697.97,200,
2026-05-11T09:27:11.802194,0,5,301.72,200,
2026-05-11T09:27:11.642626,4,5,535.57,200,
2026-05-11T09:27:11.782601,3,8,589.76,200,
2026-05-11T09:27:11.928609,1,1,477.97,200,
2026-05-11T09:27:12.104353,0,6,538.62,200,
2026-05-11T09:27:12.178768,4,6,477.84,200,
2026-05-11T09:27:12.100555,2,1,607.08,200,
2026-05-11T09:27:12.406912,1,7,307.39,200,
2026-05-11T09:27:12.643517,0,4,285.12,200,
2026-05-11T09:27:12.372876,3,0,642.34,200,
2026-05-11T09:27:12.708482,2,5,320.27,200,
2026-05-11T09:27:12.714740,1,9,430.69,200,
2026-05-11T09:27:12.657173,4,7,561.11,200,
2026-05-11T09:27:13.029168,2,5,300.51,200,
2026-05-11T09:27:12.929240,0,0,439.83,200,
2026-05-11T09:27:13.015668,3,8,364.15,200,
2026-05-11T09:27:13.218615,4,9,361.43,200,
2026-05-11T09:27:13.330185,2,6,274.3,200,
2026-05-11T09:27:13.145872,1,2,483.0,200,
2026-05-11T09:27:13.580957,4,2,274.48,200,
2026-05-11T09:27:13.369538,0,9,516.3,200,
2026-05-11T09:27:13.380300,3,2,520.4,200,
2026-05-11T09:27:13.855730,4,1,231.66,200,
2026-05-11T09:27:13.604973,2,0,497.92,200,
2026-05-11T09:27:13.629423,1,0,511.45,200,
2026-05-11T09:27:13.886332,0,9,394.81,200,
2026-05-11T09:27:14.087905,4,3,242.02,200,
2026-05-11T09:27:13.901276,3,3,453.1,200,
2026-05-11T09:27:14.103410,2,9,368.93,200,
2026-05-11T09:27:14.281616,0,9,240.39,200,
2026-05-11T09:27:14.141396,1,2,480.34,200,
2026-05-11T09:27:14.472754,2,3,208.12,200,
2026-05-11T09:27:14.330733,4,3,400.77,200,
2026-05-11T09:27:14.681390,2,7,216.07,200,
2026-05-11T09:27:14.522550,0,6,392.88,200,
2026-05-11T09:27:14.354834,3,9,564.5,200,
2026-05-11T09:27:14.622137,1,2,457.57,200,
